REG_ANS;VL_SALDO_FINAL;ano;trimestre
477;1257109617.35;2025;1
515;102537780.92;2025;1
582;13649443143.35;2025;1
701;12001491390.69;2025;1
884;1041946613.27;2025;1
5711;102195684284.0;2025;1
6246;75660776556.99;2025;1
300136;284673135.38;2025;1
300713;287232374.26;2025;1
300730;9507910.77;2025;1
300870;109218155.61;2025;1
301060;147119129.84;2025;1
301124;101004120.4;2025;1
301574;459244958.07;2025;1
301728;160833874.59;2025;1
301744;180357321.53;2025;1
301949;2311425512.14;2025;1
302147;11430368120.14;2025;1
302228;62217003.73;2025;1
302627;92869591.56;2025;1
302953;951855011.15;2025;1
303178;156111052.18;2025;1
303267;910805279.11;2025;1
303356;1243522591.46;2025;1
303623;1692404885.69;2025;1
303739;445276747.34;2025;1
303844;116358608.2;2025;1
303976;3628646511.1;2025;1
304051;398847834.59;2025;1
304123;123859547.83;2025;1
304131;254088318.47;2025;1
304212;26196432.79;2025;1
304344;209761458.06;2025;1
304395;255250103.85;2025;1
304441;52392789.98;2025;1
304468;294293947.78;2025;1
304484;165365302.62;2025;1
304531;27681181.66;2025;1
304701;8126656400.15;2025;1
304883;494647957.07;2025;1
305227;225671374.59;2025;1
305421;9919820.76;2025;1
305472;235377733.55;2025;1
305626;107913120.65;2025;1
305928;16657027.9;2025;1
306045;25383088.98;2025;1
306100;350140494.75;2025;1
306126;367055478.06;2025;1
306398;1318822724.96;2025;1
306754;94014538.18;2025;1
306762;384348908.0;2025;1
306886;1275135935.85;2025;1
307319;595961661.6;2025;1
307751;282833215.83;2025;1
308811;84301125.61;2025;1
309028;86848886.88;2025;1
309087;182631900.64;2025;1
309222;5358602518.5;2025;1
309524;69892898.48;2025;1
309907;391724707.18;2025;1
310239;60900733.04;2025;1
310247;578060458.72;2025;1
310522;451991941.29;2025;1
310981;51442296.07;2025;1
311057;17079049.14;2025;1
311146;175359266.7;2025;1
311294;359042730.01;2025;1
311359;182022984.32;2025;1
311375;440014176.79;2025;1
311391;25848949.29;2025;1
311618;241486899.5;2025;1
311715;331228302.36;2025;1
311847;781777461.29;2025;1
311944;72956677.4;2025;1
311961;821851173.93;2025;1
312126;5008621703.11;2025;1
312282;97474564.46;2025;1
312347;416271353.64;2025;1
312363;13219686030.41;2025;1
312592;278527266.68;2025;1
312720;1585159352.05;2025;1
312851;2084049808.42;2025;1
313084;139993261.89;2025;1
313149;28797207.95;2025;1
313211;277737142.62;2025;1
313475;32969167.19;2025;1
313751;91987576.79;2025;1
314099;535039272.82;2025;1
314218;1495023662.46;2025;1
314242;86948686.46;2025;1
314251;165552030.4;2025;1
314315;24204582.88;2025;1
314366;11257675.01;2025;1
314587;102228043.04;2025;1
314668;478231726.49;2025;1
314706;29544185.41;2025;1
314781;70832528.13;2025;1
315044;475791480.06;2025;1
315265;193087317.28;2025;1
315478;3546788221.51;2025;1
315494;90566681.3;2025;1
315567;358607983.42;2025;1
315583;105732644.38;2025;1
315648;107060603.33;2025;1
315729;1340127651.92;2025;1
315796;996361510.96;2025;1
316148;267643996.4;2025;1
316458;63230184.58;2025;1
316849;15012114.23;2025;1
316873;305853842.29;2025;1
316881;367490951.81;2025;1
316903;1823832.9;2025;1
316997;14791433.07;2025;1
317012;141441033.34;2025;1
317144;5652226627.67;2025;1
317233;621860397.57;2025;1
317632;659006979.99;2025;1
